Block Size,Tile Size,Time
64,64,0.038967
64,128,0.0218167
64,256,0.0134926
64,512,0.0088267
64,1024,0.00651011
64,2048,0.00555197
64,4096,0.0062317
128,64,0.0382214
128,128,0.0215989
128,256,0.0133295
128,512,0.00888077
128,1024,0.00619311
128,2048,0.00505753
128,4096,0.0056353
256,64,0.049811
256,128,0.0291151
256,256,0.0181212
256,512,0.0118568
256,1024,0.0083687
256,2048,0.00585673
256,4096,0.00539315
512,64,0.0875222
512,128,0.0500992
512,256,0.0301839
512,512,0.019219
512,1024,0.0123885
512,2048,0.00852853
512,4096,0.00693596
1024,64,0.256512
1024,128,0.144863
1024,256,0.0882255
1024,512,0.0567349
1024,1024,0.0342345
1024,2048,0.0218685
1024,4096,0.0159271

